Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
18,22,01400,Capital Region Planning Commission 1--Baton Rouge Metropolitan Area (West) PUMA,22,
39,39,04603,Montgomery County (East Central)--Dayton & Riverside Cities PUMA,39,
58,41,00100,"Umatilla, Union, Baker & Wallowa Counties PUMA",41,
52,41,01316,Multnomah County (East)--Gresham & Troutdale Cities PUMA,41,
26,41,01322,Washington County (Central)--Hillsboro City PUMA,41,
59,41,00200,North Central Oregon--The Dalles City PUMA,41,
40,05,01100,Faulkner & Lonoke Counties PUMA,05,
68,37,05400,Union County (West)--Indian Trail & Stallings Towns PUMA,37,
17,37,04800,Brunswick County PUMA,37,
45,37,05002,Cumberland County (East)--Hope Mills & Spring Lake Towns PUMA,37,
129,48,04620,Houston (Southeast) & Webster Cities PUMA,48,
129,48,04621,"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA",48,
2,04,00208,Tucson City (South) PUMA,04,
71,47,02800,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA",47,
74,47,00300,Montgomery & Stewart Counties--Clarksville City PUMA,47,
14,30,00200,West Montana--Missoula City PUMA,30,
1st Suffolk,25,03302,"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA",25,
3rd Barnstable,25,04700,Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA,25,
42,35,00300,North Central New Mexico PUMA,35,
HD-116,45,01202,Charleston (South & West) & Berkeley (South) Counties--Charleston City PUMA,45,
14,34,00901,Middlesex County (Southeast) PUMA,34,
14,34,02303,Mercer County (South) PUMA,34,
86,42,02301,Cumberland (West) & Perry Counties--Carlisle Borough PUMA,42,
125,42,02600,Schuylkill County PUMA,42,
131,36,01400,Ontario & Yates Counties PUMA,36,
131,36,00800,Wayne & Seneca Counties PUMA,36,
3,12,11300,Santa Rosa County PUMA,12,
15,06,00101,Alameda County (North)--Berkeley & Albany Cities PUMA,06,
15,06,01301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA,06,
