Senate District Number,STATEFIP_x,PUMA,PUMA Description_x,Assembly District Number,STATEFIP_y,PUMA Description_y,STATEFIP_y
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,29,29,Jackson County (North Central) PUMA,29
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,16,34,Somerset County (South) PUMA,34
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,29,29,Jackson County (North Central) PUMA,29
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
39,24,01002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
37,35,01002,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",16,34,Somerset County (South) PUMA,34
